name,year,age,team,pos,uniform_number,g,gs,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,av,awards
Ka'imi Fairbairn,2022,28,HOU,K,7,17,0,,,7,7,8,7,10,9,6,6,31,29,56,93.5%,24,24,100.0%,75,4564,33,44.0%,60.9,5
Ka'imi Fairbairn,2023,29,HOU,K,15,12,0,,,10,10,10,10,2,2,6,5,28,27,54,96.4%,22,21,95.5%,58,3624,37,63.8%,62.5,3
Ka'imi Fairbairn,2024,30,HOU,K,15,2,0,,,,,,,1,1,6,6,7,7,59,100.0%,3,3,100.0%,13,840,7,53.8%,64.6,
Nick Folk,2019,35,NWE,K,2,7,0,1,1,5,5,3,3,7,4,1,1,17,14,46,82.4%,12,12,100.0%,1,41,,,41.0,1,
Nick Folk,2020,36,NWE,K,6,16,0,,,6,6,7,7,12,11,3,2,28,26,51,92.9%,33,30,90.9%,3,172,,,57.3,4,
Nick Folk,2021,37,NWE,K,6,17,0,,,9,9,11,11,11,11,8,5,39,36,53,92.3%,47,42,89.4%,12,725,3,25.0%,60.4,4,
Nick Folk,2022,38,NWE,K,6,17,0,1,1,9,9,8,8,14,10,5,4,37,32,54,86.5%,35,32,91.4%,33,1953,3,9.1%,59.2,3,
Nick Folk,2023,39,TEN,K,6,17,0,,,9,9,9,9,6,6,6,5,30,29,53,96.7%,30,28,93.3%,63,3927,32,50.8%,62.3,5,
Nick Folk,2024,40,TEN,K,6,2,0,,,,,,,2,2,,,2,2,41,100.0%,4,4,100.0%,7,449,3,42.9%,64.1,,
Graham Gano,2020,33,NYG,K,5,16,0,,,4,4,13,13,9,9,6,5,32,31,55,96.9%,23,21,91.3%,73,4357,30,41.1%,59.7,5,
Graham Gano,2021,34,NYG,K,5,17,0,,,5,5,13,12,5,5,10,7,33,29,55,87.9%,17,17,100.0%,63,3901,26,41.3%,61.9,4,
Graham Gano,2022,35,NYG,K,9,17,0,,,2,2,10,9,11,10,9,8,32,29,57,90.6%,34,32,94.1%,84,5117,50,59.5%,60.9,5,
Graham Gano,2023,36,NYG,K,9,8,0,,,2,2,5,3,6,3,4,3,17,11,57,64.7%,8,8,100.0%,28,1819,23,82.1%,65.0,0,
Graham Gano,2024,37,NYG,K,9,2,0,,,1,1,,,,,1,1,2,2,50,100.0%,,,,4,258,3,75.0%,64.5,,
Matt Gay,2019,25,TAM,K,9,16,0,,,6,6,7,5,14,11,8,5,35,27,58,77.1%,48,43,89.6%,1,14,,,14.0,3,
Matt Gay,2020,26,LAR,K,1,7,0,,,2,2,6,5,7,6,1,1,16,14,51,87.5%,16,16,100.0%,35,2234,28,80.0%,63.8,2,
Matt Gay,2021,27,LAR,K,8,17,0,,,6,6,15,15,8,7,5,4,34,32,55,94.1%,49,48,98.0%,102,6309,65,63.7%,61.9,5,PB
Matt Gay,2022,28,LAR,K,8,17,0,,,9,9,8,8,4,4,9,7,30,28,58,93.3%,32,31,96.9%,77,4843,61,79.2%,62.9,5,
Matt Gay,2023,29,IND,K,7,17,0,,,9,9,10,9,9,7,13,8,41,33,57,80.5%,36,35,97.2%,92,5898,72,78.3%,64.1,2,
Matt Gay,2024,30,IND,K,7,1,0,,,,,1,1,,,1,,2,1,34,50.0%,1,1,100.0%,3,138,2,66.7%,46.0,,
Zane Gonzalez,2019,24,ARI,K,5,16,0,,,12,12,13,12,8,5,2,2,35,31,54,88.6%,35,34,97.1%,83,5241,45,54.2%,63.1,4
Zane Gonzalez,2020,25,ARI,K,5,12,0,,,4,4,2,2,13,8,3,2,22,16,56,72.7%,39,38,97.4%,65,4112,36,55.4%,63.3,2
Zane Gonzalez,2021,26,CAR,K,5,12,0,,,6,6,1,1,10,10,5,3,22,20,57,90.9%,23,22,95.7%,55,3568,35,63.6%,64.9,4
Blake Grupe,2023,25,NOR,K,19,17,0,,,12,10,6,6,10,8,9,6,37,30,55,81.1%,40,40,100.0%,91,5828,76,83.5%,64.0,3
Blake Grupe,2024,26,NOR,K,19,2,0,,,1,1,1,1,1,1,2,2,5,5,57,100.0%,11,10,90.9%,18,1148,4,22.2%,63.8,
Lucas Havrisik,2023,24,LAR,K,8,9,0,,,8,8,3,3,6,2,3,2,20,15,52,75.0%,22,19,86.4%,8,524,7,87.5%,65.5,0
Dustin Hopkins,2019,29,WAS,K,3,16,0,,,8,7,9,8,10,8,3,2,30,25,53,83.3%,22,21,95.5%,68,4231,48,70.6%,62.2,3
Dustin Hopkins,2020,30,WAS,K,3,16,0,,,5,5,8,7,17,13,4,2,34,27,51,79.4%,32,30,93.8%,78,4808,65,83.3%,61.6,2
Dustin Hopkins,2021,31,2TM,K,,17,0,1,1,8,8,6,6,14,13,5,2,34,30,50,88.2%,44,40,90.9%,100,6298,71,71.0%,63.0,4
